529502	529478	9609	8876	530143	530107
1048476	1048421	3905	6096	1049893	1049063
1911142	1911084	5222	9928	1912187	1911696
1016336	1016325	11204	9687	1016943	1016967
1315883	1315856	7427	9320	1316704	1316505
1597667	1597654	11041	6993	1598271	1598529
1803215	1803223	10835	7179	1803857	1804053
1656868	1656847	11196	10226	1657507	1657433
924435	924426	10760	9773	925051	925076
489184	489197	10875	6411	489792	490071
2065100	2065085	10557	9797	2065731	2065706
859797	859741	4347	8777	861190	860431
1601443	1601514	11148	1971	1602080	1603703
1030444	1030427	7818	8084	1031294	1031175
692729	692744	10652	5237	693368	693805
1908430	1908377	5318	9757	1909688	1908994
1468259	1468246	7157	7716	1469210	1469033
1250824	1250812	10671	10242	1251454	1251419
272808	272792	11191	9051	273408	273454
943282	943274	11288	8037	943916	944023
1059717	1059712	7805	7112	1060507	1060489
784431	784436	11052	6588	785017	785377
1080703	1080664	5729	9399	1081888	1081321
1812467	1812440	8470	6228	1813210	1813081
1648812	1648833	10787	9661	1649449	1649811
1314866	1314797	7494	9646	1315724	1315460
3295	3316	11052	4615	3910	4476
266412	266407	11050	9767	267011	267024
1875819	1875739	3649	9813	1877263	1876408
788261	788266	10809	6496	788900	789188
772247	774357	10874	3374	774945	775767
1931543	1931508	8775	9886	1932309	1932145
16027	16036	9783	3535	16726	17675
387195	387159	5915	9485	388193	387816
1448165	1448148	10623	9857	1448790	1448779
451097	451095	11114	7799	451718	451874
152332	152284	4131	9423	153580	152906
661923	662659	9078	5127	663326	663880
1866512	1866491	8141	9478	1867324	1867131
1692809	1692804	10882	9901	1693432	1693439
1061007	1060985	10230	10115	1061653	1061602
330047	330007	4487	10044	331344	330623
1172061	1172068	10551	7124	1172697	1172906
367884	367891	11271	7167	368461	368766
708191	708169	6806	6605	709141	709156
546398	549667	10872	9385	550270	550340
236283	236240	7617	9260	237063	236888
1431766	1431704	4525	8561	1432974	1432384
1550615	1550255	10659	7663	1551248	1551442
1964983	1964996	10750	7468	1965621	1965779
200673	200657	10841	10083	201297	201293
1882753	1882744	10457	5497	1883404	1883692
938083	938079	11013	7673	938696	938702
402475	402466	10709	7948	403072	403195
1889124	1889965	10910	4626	1890559	1891329
1626598	1626617	10569	2127	1627233	1628458
1785211	1785164	5502	5773	1786314	1786160
1026775	1026760	6277	4551	1027846	1027932
30399	30377	10446	9578	31046	31012
714103	714094	10611	10109	714724	714717
1977748	1977716	10579	10034	1978363	1978338
84695	1336602	10806	9059	1337159	1337367
250519	250544	10201	3613	251154	252050
263727	263707	10417	9744	264366	264375
1445018	1444996	10571	9759	1445647	1445651
2046903	2046866	6538	6967	2047880	2047766
737098	737065	6604	9606	737963	737723
1385502	1385548	10575	2589	1386116	1387388
1479204	1479205	11048	7068	1479807	1480095
1500527	1500473	5125	9129	1501614	1501096
156571	156540	7247	9383	157421	157183
1362350	1362330	6075	6366	1363332	1363236
1481006	1480979	8494	9898	1481723	1481676
204897	204885	10424	9553	205512	205555
1158234	1158016	10904	12254	1158847	1158595
1578968	1578999	10342	2046	1579585	1581206
829474	829460	10476	9366	830085	830128
1001792	1001774	10913	9728	1002403	1002445
753192	753181	10852	10007	753784	753806
